Config: quantum_fpn_random_split
Model: quantum_fpn_unet | Mode: 4 (swir)
Output: experiments/quantum_fpn_random_split_0428_0319
Train: 432 batches | Val: 369 | Test: 93

--- Epoch 1/5 ---
  Iter 150/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.75s
  Iter 160/432 | Loss: nan | OA: 0.9869 | mIoU: 0.4935 | Time: 5.66s
  Iter 170/432 | Loss: nan | OA: 0.9458 | mIoU: 0.4729 | Time: 5.65s
  Iter 180/432 | Loss: nan | OA: 0.9473 | mIoU: 0.4736 | Time: 5.76s
  Iter 190/432 | Loss: nan | OA: 0.9836 | mIoU: 0.4918 | Time: 5.66s
  Iter 200/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.65s
  Iter 210/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.76s
  Iter 220/432 | Loss: nan | OA: 0.9802 | mIoU: 0.4901 | Time: 5.64s
  Iter 230/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.66s
  Iter 240/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.78s
  Iter 250/432 | Loss: nan | OA: 0.8751 | mIoU: 0.4375 | Time: 5.64s
  Iter 260/432 | Loss: nan | OA: 0.9439 | mIoU: 0.4720 | Time: 5.64s
  Iter 270/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.80s
  Iter 280/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.65s
  Iter 290/432 | Loss: nan | OA: 0.9374 | mIoU: 0.4687 | Time: 5.63s
  Iter 300/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.77s
  Iter 310/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.64s
  Iter 320/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.64s
  Iter 330/432 | Loss: nan | OA: 0.8414 | mIoU: 0.4207 | Time: 5.81s
  Iter 340/432 | Loss: nan | OA: 0.9807 | mIoU: 0.4903 | Time: 5.65s
  Iter 350/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.64s
  Iter 360/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.79s
  Iter 370/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.64s
  Iter 380/432 | Loss: nan | OA: 0.7219 | mIoU: 0.3610 | Time: 5.64s
  Iter 390/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.81s
  Iter 400/432 | Loss: nan | OA: 0.9568 | mIoU: 0.4784 | Time: 5.66s
  Iter 410/432 | Loss: nan | OA: 0.9968 | mIoU: 0.4984 | Time: 5.65s
  Iter 420/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.77s
  Iter 430/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.63s
Validating...
  Val OA: 96.17% | Fire F1: 0.00% | Fire IoU: 0.00% | mIoU: 48.08%

--- Epoch 5/5 ---
  Iter 10/432 | Loss: nan | OA: 0.9763 | mIoU: 0.4882 | Time: 5.56s
  Iter 20/432 | Loss: nan | OA: 0.9268 | mIoU: 0.4634 | Time: 5.57s
  Iter 30/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.70s
  Iter 40/432 | Loss: nan | OA: 0.9968 | mIoU: 0.4984 | Time: 5.59s
  Iter 50/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.59s
  Iter 60/432 | Loss: nan | OA: 0.8056 | mIoU: 0.4028 | Time: 5.71s
  Iter 70/432 | Loss: nan | OA: 0.8709 | mIoU: 0.4354 | Time: 5.61s
  Iter 80/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.59s
  Iter 90/432 | Loss: nan | OA: 0.9974 | mIoU: 0.4987 | Time: 5.72s
  Iter 100/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 6.03s
